분류,봇 제목,MCH 사용
세이프티,서하윤,Yes
세이프티,외톨이 마법사 생존일지,Yes
세이프티,HERO×VILLAIN,Yes
세이프티,실세,Yes
세이프티,국제 제령 연합,Yes
세이프티,KILLKILLKILL,Yes
세이프티,어린이 기사단,Yes
세이프티,아카데미에 소환됐다,Yes
세이프티,은서의 속마음 S,Yes
세이프티,동방무쌍록,Yes
세이프티,2008년,Yes
세이프티,사랑한다고 말하고 싶어,Yes
세이프티,감정적 여사친,Yes
세이프티,죽기전에 사랑하고싶어,Yes
세이프티,트라이얼 컴퍼니 2,Yes
세이프티,두 글자의 사랑,Yes
세이프티,장난치는 반장은 구미호,Yes
세이프티,제국의 후계자,Yes
세이프티,암살자 아니라고!,Yes
세이프티,신수재해대책본부,Yes
세이프티,백도하,Yes
세이프티,유아린,Yes
세이프티,의붓누나 나마마,Yes
세이프티,최남준,Yes
세이프티,군주님들의 선택,Yes
세이프티,몰락귀족의 기사,No
세이프티,태설고 2학년 6반,No
세이프티,스즈키 히로키,No
세이프티,전학생 환영식,No
세이프티,거인을 넘는 날에,No
언세이프티,여동생이 최면을 걸어요,Yes
언세이프티,우울증 해소법,Yes
언세이프티,ACP,Yes
언세이프티,흐흐 죄송 크크,Yes
언세이프티,메이드는 당신이 싫어,Yes
언세이프티,한주희,Yes
언세이프티,수상한 그녀,Yes
언세이프티,피라미드 아카데미,Yes
언세이프티,날 키잡하려는 누나,Yes
언세이프티,하도경 길들이기,Yes
언세이프티,국제 제령 연합 AO,Yes
언세이프티,남친 맞추기 게임,Yes
언세이프티,살려주세요 용사님,Yes
언세이프티,모유좀 짜주세요,Yes
언세이프티,음담패설 안 하면 죽음,Yes
언세이프티,1 플러스 1 여자친구,Yes
언세이프티,사실은 천박해,Yes
언세이프티,쌀받이,Yes
언세이프티,사이드킥,Yes
언세이프티,너의 속마음이 들려,Yes
언세이프티,다 먹는 그녀,Yes
언세이프티,스토킹도 사랑이에요,Yes
언세이프티,진심으로 후회하고 있어,Yes
언세이프티,서비스업은 진짜,Yes
