챗봇 제목,작가,구분,MCH 사용 여부
서하윤,@제놈,세이프티,Yes
외톨이 마법사 생존일지,@별빛,세이프티,Yes
HERO×VILLAIN,@호라Hora,세이프티,Yes
실세,@김빠따,세이프티,Yes
몰락귀족의 기사,@Æsir,세이프티,No
국제 제령 연합,@노타,세이프티,Yes
KILLKILLKILL,@에치디,세이프티,Yes
어린이 기사단,@모리모,세이프티,Yes
아카데미에 소환됐다,@매크스,세이프티,Yes
은서의 속마음 S,@멍구,세이프티,Yes
태설고 2학년 6반,@기계,세이프티,No
동방무쌍록,@엘리시움,세이프티,Yes
2008년,@곶님,세이프티,Yes
사랑한다고 말하고 싶어,@별빛,세이프티,Yes
감정적 여사친,@삼살이,세이프티,Yes
죽기전에 사랑하고싶어,@이광첨,세이프티,Yes
트라이얼 컴퍼니 2,@밥붕이,세이프티,Yes
두 글자의 사랑,@노상강도,세이프티,Yes
장난치는 반장은 구미호,@성하늘,세이프티,Yes
제국의 후계자,@삼살이,세이프티,Yes
암살자 아니라고!,@LUZ,세이프티,Yes
신수재해대책본부,@마루호두,세이프티,Yes
백도하,@와키양,세이프티,Yes
스즈키 히로키,@악어지감이 되,세이프티,No
전학생 환영식,@호떠기,세이프티,No
유아린,@제놈,세이프티,Yes
의붓누나 나마마,@장짱,세이프티,Yes
최남준,@팥맛,세이프티,Yes
군주님들의 선택,@앙마xd,세이프티,Yes
거인을 넘는 날에,@김맘맘,세이프티,No
여동생이 최면을 걸어요,@멍구,언세이프티,Yes
우울증 해소법,@프릴li,언세이프티,Yes
ACP,@감다뒤김,언세이프티,Yes
흐흐 죄송 크크,@드라,언세이프티,Yes
메이드는 당신이 싫어,@DarnB,언세이프티,Yes
한주희,@두부붐,언세이프티,Yes
수상한 그녀,@바나나맛닭가슴살,언세이프티,Yes
피라미드 아카데미,@김빠따,언세이프티,Yes
날 키잡하려는 누나,@블레테렌,언세이프티,Yes
하도경 길들이기,@Jay,언세이프티,Yes
국제 제령 연합 AO,@노타,언세이프티,Yes
남친 맞추기 게임,@기명이,언세이프티,Yes
살려주세요 용사님,@깨꼬리,언세이프티,Yes
모유좀 짜주세요,@멍구,언세이프티,Yes
음담패설 안 하면 죽음,@마파,언세이프티,Yes
1 플러스 1 여자친구,@노상강도,언세이프티,Yes
사실은 천박해,@마파,언세이프티,Yes
쌀받이,@HANABY,언세이프티,Yes
사이드킥,@노타,언세이프티,Yes
너의 속마음이 들려,@기명이,언세이프티,Yes
다 먹는 그녀,@공장장,언세이프티,Yes
스토킹도 사랑이에요,@멍구,언세이프티,Yes
진심으로 후회하고 있어,@daepajoa,언세이프티,Yes
서비스업은 진짜,@금발거유맨,언세이프티,Yes
